id,pilon_serviciu,declansator_psihologic,subiect_specific,status,data_folosire,fisier_draft
1,audit_factura,curiozitate,doua randuri de pe factura pe care aproape nimeni nu le citeste,used,2026-08-27,reduco-growth/content/drafts/2026-08-27-id1.md
2,racordare_atr,contra_intuitiv,de ce avizul ATR intarziat nu e vina distribuitorului in cele mai multe cazuri,used,2026-08-28,reduco-growth/content/drafts/2026-08-28-id2.md
3,litigii_anre,dovada_sociala,firma anonimizata care a recuperat o suma dupa o reclamatie ANRE,used,2026-08-31,reduco-growth/content/drafts/2026-08-31-id3.md
4,abonament_persoane_juridice,aversiune_pierdere,costul ascuns al facturilor semnate fara verificare de-a lungul unui an,used,2026-09-02,reduco-growth/content/drafts/2026-09-02-id4.md
5,prosumatori,autoritate,mecanismul prin care se calculeaza compensarea energiei produse de un prosumator,used,2026-09-04,reduco-growth/content/drafts/2026-09-04-id5.md
6,audit_factura,dovada_sociala,caz concret cu numar angajati tip activitate si judet unde auditul a gasit o eroare,pending,,
7,racordare_atr,curiozitate,termenul tehnic din avizul ATR pe care putini administratori il inteleg de fapt,pending,,
8,litigii_anre,aversiune_pierdere,termenul limita dupa care o reclamatie ANRE nu mai poate fi depusa,pending,,
9,prosumatori,contra_intuitiv,de ce a avea panouri fotovoltaice nu inseamna automat factura mai mica,pending,,
10,abonament_persoane_juridice,reciprocitate,ce contine exact checklistul de verificare a facturii inainte de a cere ceva in schimb,pending,,
11,audit_factura,contra_intuitiv,de ce penalitatile mari de pe factura nu sunt de fapt problema principala,pending,,
12,racordare_atr,dovada_sociala,caz concret de firma care a pierdut timp pe un aviz ATR depus incomplet,pending,,
13,litigii_anre,curiozitate,fraza standard dintr-o factura care ascunde un motiv de contestatie,pending,,
14,prosumatori,aversiune_pierdere,fondul nerambursabil pentru care termenul de depunere trece neobservat,pending,,
15,abonament_persoane_juridice,autoritate,ce inseamna cele 3 interventii complexe incluse in abonamentul anual si cand se epuizeaza,pending,,
16,audit_factura,autoritate,ce este puterea contractata si de ce influenteaza factura mai mult decat consumul,pending,,
17,racordare_atr,aversiune_pierdere,costul de a incepe productia fara avizul ATR finalizat,pending,,
18,litigii_anre,contra_intuitiv,de ce o reclamatie depusa corect dureaza mai putin decat una depusa in graba,pending,,
19,prosumatori,dovada_sociala,caz concret de prosumator care a obtinut fonduri nerambursabile dupa un dosar respins initial,pending,,
20,abonament_persoane_juridice,curiozitate,ce se intampla cu abonamentul in luna in care nu apare nicio problema pe factura,pending,,
